제목,도로명주소,지역,위도,경도,인기점수
한치앞도모를바다,제주특별자치도 제주시 한림읍 협재6길 9,제주시,33.394592,126.2425,8447
중문자연산횟집,제주특별자치도 서귀포시 중문로 11,서귀포시,33.25296,126.423386,4375
이끼숲소길,제주특별자치도 제주시 애월읍 장소로 621,제주시,33.41014,126.38997,4812
브릭스 제주,제주특별자치도 제주시 구좌읍 김녕로2길 6,제주시,33.554623,126.74302,5004
카페루시아,제주특별자치도 서귀포시 안덕면 난드르로 49-17,서귀포시,33.234962,126.36379,8849
돈돼지흑돼지,제주특별자치도 서귀포시 표선면 표선백사로 108,서귀포시,33.3225332,126.8228665,3454
마돈,제주특별자치도 서귀포시 성산읍 섭지코지로 56,서귀포시,33.4375266,126.9218868,7132
어장군,제주특별자치도 제주시 신대로 72,제주시,33.4909667,126.4962028,304
별방21,제주특별자치도 제주시 구좌읍 문주란로1길 74-20,제주시,33.514984,126.88177,1364
순이네해장국,제주특별자치도 제주시 오복4길 8,제주시,33.4954211,126.5363706,4948
상춘재,제주특별자치도 제주시 조천읍 선진길 26,제주시,33.45866,126.70484,19482
봉끄랑,제주특별자치도 제주시 우도면 우도해안길 144,제주시,33.4943265,126.9451046,14693
타코마씸,제주특별자치도 제주시 구좌읍 해맞이해안로 474,제주시,33.55505,126.79723,3967
로뎀가든,제주특별자치도 제주시 우도면 우도해안길 264,제주시,33.50358,126.94283,12783
청춘다락,제주특별자치도 제주시 애월읍 일주서로 6755,제주시,33.473713,126.37357,2218
신제주보말칼국수,제주특별자치도 제주시 선덕로5길 19,제주시,33.4879188,126.5000451,1081
몽상드애월(몽상),제주특별자치도 제주시 애월읍 애월북서길 56-1,제주시,33.463326,126.309204,118830
88버거,제주특별자치도 서귀포시 동문로 63 (서귀동),서귀포시,33.249256,126.56721,13307
포도원흑돼지,제주특별자치도 제주시 1100로 3155,제주시,33.4681555,126.4847313,7555
사방팔방,제주특별자치도 제주시 우정로10길 12,제주시,33.4888877,126.4296093,4876
망고레이,제주특별자치도 제주시 우도면 우도로 1,제주시,33.5033191,126.9556775,11363
신동성식당,제주특별자치도 서귀포시 토평남로 109,서귀포시,33.2676528,126.5893094,4674
파리바게트 성산일출봉점,제주특별자치도 서귀포시 성산읍 일출로 270-1,서귀포시,33.46191,126.934555,511
과수원집,제주특별자치도 제주시 천수동로 35,제주시,33.507515,126.546295,3346
